id,title,author,eventDate,eventName,audio,video,youtubeUrl,description
1323,我们的复活,洪德军長老,2022-04-17T14:15:00.000Z,主日崇拜,https://s3.amazonaws.com/cccg-media/audio/sermon/2022/20220417.mp3,https://s3.amazonaws.com/cccg-media/videos/sermon/2022/20220417.mp4,https://www.youtube.com/embed/wTBCtIe5wrw,罗马书8:10－11
1322,圣灵所结的果子,吳偉長老,2022-04-10T14:45:00.000Z,主日崇拜,https://s3.amazonaws.com/cccg-media/audio/sermon/2022/20220410.mp3,https://s3.amazonaws.com/cccg-media/videos/sermon/2022/20220410.mp4,https://www.youtube.com/embed/zzsOhhxgFKU,经文:加拉太书5:22－23
1321,彼此相愛傳福音,許健文長老,2022-04-03T14:15:00.000Z,主日崇拜,https://s3.amazonaws.com/cccg-media/audio/sermon/2022/20220403.mp3,https://s3.amazonaws.com/cccg-media/videos/sermon/2022/20220403.mp4,https://www.youtube.com/embed/c4Nemhb4yrs,約翰福音 15:9－17
1320,求你指教我们怎样数算自己的日子,吳偉長老,2022-03-27T14:15:00.000Z,主日崇拜,https://s3.amazonaws.com/cccg-media/audio/sermon/2022/20220227.mp3,https://s3.amazonaws.com/cccg-media/videos/sermon/2022/20220227.mp4,https://www.youtube.com/embed/FxdW_dKTUsU,经文:诗篇 90 1-17
1319,等候復興,許健文長老,2022-03-20T14:15:00.000Z,主日崇拜,https://s3.amazonaws.com/cccg-media/audio/sermon/2022/20220320.mp3,https://s3.amazonaws.com/cccg-media/videos/sermon/2022/20220320.mp4,https://www.youtube.com/embed/ci6eYStJ268,经文:以赛亚书 30:15-22
1318,丈夫是妻子的头,吳偉長老,2022-03-13T14:15:00.000Z,主日崇拜,https://s3.amazonaws.com/cccg-media/audio/sermon/2022/20220313.mp3,https://s3.amazonaws.com/cccg-media/videos/sermon/2022/20220313.mp4,https://www.youtube.com/embed/PKqfq8MASz8,经文:以弗所书 5:22 -33
1317,真實的敬拜,許健文長老,2022-03-06T16:15:00.000Z,主日崇拜,https://s3.amazonaws.com/cccg-media/audio/sermon/2022/20220306.mp3,https://s3.amazonaws.com/cccg-media/videos/sermon/2022/20220306.mp4,https://www.youtube.com/embed/ie62-pc5YFc,经文:啟示錄 4:1-11
1316,“没有异象，民就灭亡”：要收的庄稼多,吳偉長老,2022-02-27T16:15:00.000Z,主日崇拜,https://s3.amazonaws.com/cccg-media/audio/sermon/2022/20220227.mp3,https://s3.amazonaws.com/cccg-media/videos/sermon/2022/20220227.mp4,https://www.youtube.com/embed/ntHX8I1I8EU,"""经文 : 马太福音 9：35-38"""
1315,心靈和誠實的敬拜,許健文長老,2022-02-20T16:15:00.000Z,主日崇拜,https://s3.amazonaws.com/cccg-media/audio/sermon/2022/20220220.mp3,https://s3.amazonaws.com/cccg-media/videos/sermon/2022/20220220.mp4,https://www.youtube.com/embed/pVzrp1Bv2hI,约4：20-24
1314,神在家庭里的旨意,洪德军 長老,2022-02-13T16:15:00.000Z,主日崇拜,https://s3.amazonaws.com/cccg-media/audio/sermon/2022/20220213.mp3,https://s3.amazonaws.com/cccg-media/videos/sermon/2022/20220213.mp4,https://www.youtube.com/embed/42C2u_-Ir-A,"""申命记 6: 4-9"""
1313,合神心意的團隊事奉,許健文長老,2022-02-06T16:15:00.000Z,主日崇拜,https://s3.amazonaws.com/cccg-media/audio/sermon/2022/20220206.mp3,https://s3.amazonaws.com/cccg-media/videos/sermon/2022/20220206.mp4,https://www.youtube.com/embed/-o0hL-KAF4s,"""經文：历代志上 23: 1-6"""
1312,“没有异象，民就灭亡”,吳偉長老,2022-01-30T16:15:00.000Z,主日崇拜,https://s3.amazonaws.com/cccg-media/audio/sermon/2022/20220130.mp3,https://s3.amazonaws.com/cccg-media/videos/sermon/2022/20220130.mp4,https://www.youtube.com/embed/xJnEbu1L3NA,經文：箴 29:18
1311,神國與神蹟,許健文長老,2022-01-23T16:15:00.000Z,主日崇拜,https://s3.amazonaws.com/cccg-media/audio/sermon/2022/20220123.mp3,https://s3.amazonaws.com/cccg-media/videos/sermon/2022/20220123.mp4,https://www.youtube.com/embed/gLTmtcWGfFM,經文：約3:1-7
1310,团契,張勇弟兄,2022-01-16T16:15:00.000Z,主日崇拜,https://s3.amazonaws.com/cccg-media/audio/sermon/2022/20220116.mp3,https://s3.amazonaws.com/cccg-media/videos/sermon/2022/20220116.mp4,https://www.youtube.com/embed/CTFj0fOq7ZU,"""经文: 徒2:40-47"""
1309,“没有异象，民就灭亡”：在爱中建立自己,吳偉長老,2022-01-09T16:15:00.000Z,主日崇拜,https://s3.amazonaws.com/cccg-media/audio/sermon/2022/20220109.mp3,https://s3.amazonaws.com/cccg-media/videos/sermon/2022/20220109.mp4,https://www.youtube.com/embed/HIt_fyO-TR0,"""经文 : 箴 29:18; 以弗所书 4 ：11-16"""
